Chad,17203787,0.00028,0.00026,0.00001
Russia,145899956,0.00753,0.00682,0.00013
Paraguay,7270717,0.03886,0.03211,0.00090
Yemen,30882462,0.00021,0.00009,0.00004
Senegal,17462688,0.00232,0.00224,0.00006
Sweden,10196161,0.02265,0.00049,0.00045
Cabo Verde,565346,0.04310,0.03697,0.00039
Kiribati,122470,0.00000,0.00000,0.00000
Guyana,792481,0.01706,0.01436,0.00038
Philippines,111913102,0.00943,0.00863,0.00016
Eritrea,3633796,0.00101,0.00096,0.00000
Djibouti,1010377,0.01104,0.01070,0.00014
Singapore,5925135,0.01033,0.01026,0.00001
Malaysia,33015425,0.01257,0.01160,0.00005
Fiji,906570,0.00013,0.00008,0.00000
Turkey,85484777,0.05703,0.05241,0.00048
Malawi,19953296,0.00171,0.00161,0.00006
Iraq,41750703,0.02575,0.02293,0.00037
Germany,83975691,0.00889,0.00786,0.00019
Comoros,899658,0.00427,0.00408,0.00016
Cambodia,17080063,0.00085,0.00031,0.00001
Afghanistan,40374668,0.00149,0.00132,0.00007
Ivory Coast,27451054,0.00168,0.00166,0.00001
Jordan,10322902,0.06906,0.06670,0.00086
Maldives,546203,0.05629,0.04590,0.00014
Rwanda,13466174,0.00188,0.00174,0.00003
Sudan,45532863,0.00075,0.00059,0.00005
France,65520147,0.08555,0.00469,0.00159
Greece,10340571,0.03350,0.00907,0.00101
Sri Lanka,21547096,0.00519,0.00454,0.00003
Taiwan,23877855,0.00005,0.00004,0.00000
Dominica,72167,0.00241,0.00238,0.00000
Algeria,45061896,0.00272,0.00190,0.00007
Togo,8596357,0.00151,0.00131,0.00001
Equatorial Guinea,1477483,0.00521,0.00493,0.00008
Slovakia,5460937,0.07015,0.04675,0.00215
Macau,663998,0.00007,0.00007,0.00000
Argentina,45847428,0.06555,0.05837,0.00140
Belgium,11658404,0.04421,0.00267,0.00208
Angola,34566172,0.00078,0.00069,0.00002
San Marino,34017,0.14893,0.14455,0.00265
Qatar,2962425,0.06986,0.06500,0.00016
Ecuador,18033738,0.02148,0.01828,0.00104
Lesotho,2169209,0.00495,0.00289,0.00015
Albania,2869700,0.04573,0.03865,0.00084
Madagascar,28860961,0.00130,0.00113,0.00002
Finland,5553102,0.01571,0.00828,0.00016
Ghana,32120718,0.00288,0.00281,0.00002
Nicaragua,6748507,0.00102,0.00063,0.00003
Peru,33587011,0.02481,0.05205,0.00081
Benin,12644580,0.00062,0.00060,0.00001
Sierra Leone,8238113,0.00049,0.00037,0.00001
India,1401310563,0.00337,0.00284,0.00005
Bahamas,399068,0.02636,0.02396,0.00052
Belarus,9438767,0.03825,0.03727,0.00027
Kuwait,4366698,0.06334,0.05954,0.00036
Malta,443646,0.06834,0.06681,0.00094
